method,AUC,AP,Precision@10,Recall@10,Hits@10,NDCG@10,seed
CN,0.9914980062580248,0.9896566583965275,1.0,0.0011334013374135782,1.0,0.9999999999999998,2024
Jaccard,0.988877579282888,0.9878093343106048,1.0,0.0011334013374135782,1.0,0.9999999999999998,2024
RA,0.9936037780763955,0.9933577715187056,1.0,0.0011334013374135782,1.0,0.9999999999999998,2024
AA,0.9924986957149349,0.991688964961275,1.0,0.0011334013374135782,1.0,0.9999999999999998,2024
PA,0.840540522347847,0.85524858327763,1.0,0.0011334013374135782,1.0,0.9999999999999998,2024
HPI,0.9840705535459937,0.9609221271758189,0.7,0.0007933809361895047,1.0,0.702728403557943,2024
HDI,0.9879809230429227,0.9868654688292045,1.0,0.0011334013374135782,1.0,0.9999999999999998,2024
MLP,0.9942422942293687,0.9947005831131253,1.0,0.0011334013374135782,1.0,0.9999999999999998,2024
CN,0.9927113738577688,0.9908714558247018,1.0,0.0011334013374135782,1.0,0.9999999999999998,2025
Jaccard,0.9908054663112801,0.9899384961491996,1.0,0.0011334013374135782,1.0,0.9999999999999998,2025
RA,0.9947523569461697,0.9944299109006773,1.0,0.0011334013374135782,1.0,0.9999999999999998,2025
AA,0.9937608844841547,0.9929718697550926,1.0,0.0011334013374135782,1.0,0.9999999999999998,2025
PA,0.83585883489554,0.8511638273347742,1.0,0.0011334013374135782,1.0,0.9999999999999998,2025
HPI,0.987027577467108,0.9702884006508878,0.6,0.0006800408024481469,1.0,0.5900490851534655,2025
HDI,0.9900288172717467,0.9891695556830724,1.0,0.0011334013374135782,1.0,0.9999999999999998,2025
MLP,0.9951949204299722,0.9952741319640923,1.0,0.0011334013374135782,1.0,0.9999999999999998,2025
CN,0.992733475376538,0.9907503057603813,1.0,0.0011334013374135782,1.0,0.9999999999999998,2026
Jaccard,0.9901875294277451,0.988395173813616,0.9,0.0010200612036722204,1.0,0.7799082337019199,2026
RA,0.9948441607845219,0.994431487533254,1.0,0.0011334013374135782,1.0,0.9999999999999998,2026
AA,0.9937461116003505,0.992734439664001,1.0,0.0011334013374135782,1.0,0.9999999999999998,2026
PA,0.8449239452761513,0.856800826355026,0.7,0.0007933809361895047,1.0,0.7605591431973847,2026
HPI,0.9862058711319727,0.9671683394699145,0.7,0.0007933809361895047,1.0,0.8006937664098819,2026
HDI,0.9893378959192272,0.98752012297626,0.9,0.0010200612036722204,1.0,0.7799082337019199,2026
MLP,0.9951178445144733,0.9952301220337281,1.0,0.0011334013374135782,1.0,0.9999999999999998,2026
CN,0.9925086642000062,0.9905093846459576,1.0,0.0011334013374135782,1.0,0.9999999999999998,2027
Jaccard,0.9897330127540473,0.988267167238082,1.0,0.0011334013374135782,1.0,0.9999999999999998,2027
RA,0.9946052575614397,0.9942452903791537,1.0,0.0011334013374135782,1.0,0.9999999999999998,2027
AA,0.99363509659006,0.9927087148486129,1.0,0.0011334013374135782,1.0,0.9999999999999998,2027
PA,0.8388950607428225,0.8524080329446035,1.0,0.0011334013374135782,1.0,0.9999999999999998,2027
HPI,0.9851596811929461,0.9643100111510408,0.8,0.0009067210699308625,1.0,0.8579809428223729,2027
HDI,0.9890963785380109,0.9878570525759959,1.0,0.0011334013374135782,1.0,0.9999999999999998,2027
MLP,0.9947291121346535,0.9949778044365514,1.0,0.0011334013374135782,1.0,0.9999999999999998,2027
CN,0.9926831062657593,0.990907730152363,1.0,0.0011334013374135782,1.0,0.9999999999999998,2028
Jaccard,0.9908621749161083,0.9899584369517005,1.0,0.0011334013374135782,1.0,0.9999999999999998,2028
RA,0.9948576490697342,0.9946813498684429,1.0,0.0011334013374135782,1.0,0.9999999999999998,2028
AA,0.993696789437424,0.9928938262228135,1.0,0.0011334013374135782,1.0,0.9999999999999998,2028
PA,0.8443577969848389,0.858077254882083,1.0,0.0011334013374135782,1.0,0.9999999999999998,2028
HPI,0.988221367784315,0.9752679020014304,0.1,0.00011334013374135781,1.0,0.06362078819895171,2028
HDI,0.9900164722792809,0.9889976068620223,1.0,0.0011334013374135782,1.0,0.9999999999999998,2028
MLP,0.9954112082948484,0.9957111795122934,1.0,0.0011334013374135782,1.0,0.9999999999999998,2028
